correspondence_id,historical_record_id,historical_form_diplomatic,historical_matched_component,historical_printed_page,historical_graphic_key,modern_record_id,modern_headword,modern_matched_component,modern_graphic_key,modern_classification,modern_translation_raw,modern_source_code,edit_distance,similarity,relation_type,candidate_status,modern_commit,human_reviewed,review_decision
RHD-PCORR-000076,RHD-S1809-01937,Jukí,Jukí,359,juki,RD-001181,Jubí,Jubí,jubi,S pl,Esposas,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000077,RHD-S1809-01937,Jukí,Jukí,359,juki,RD-001188,Juri,Juri,juri,Adv,"Sí, seguro",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000078,RHD-S1809-01939,Jumá,Jumá,359,juma,RD-001184,Jumsa,Jumsa,jumsa,Vi pl,Huir,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000079,RHD-S1809-01939,Jumá,Jumá,359,juma,RD-001185,Jumta,Jumta,jumta,Vt,Echar a correr,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000080,RHD-S1809-01939,Jumá,Jumá,359,juma,RD-001152,Jima,Jima,jima,Vi pl,Subir,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000081,RHD-S1809-01988,Láca,Láca,360,laca,RD-001191,Labá,Labá,laba,S,"Hueja redonda (reg.), jícara",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000082,RHD-S1809-01988,Láca,Láca,360,laca,RD-001205,Loca,Loca,loca,Vt,"Batir, mezclar (pinole en agua)",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000083,RHD-S1809-01989,Lála,Lála,360,lala,RD-001191,Labá,Labá,laba,S,"Hueja redonda (reg.), jícara",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000084,RHD-S1809-01995,Loguí,Loguí,360,logui,RD-001213,Lohuí,Lohuí,lohui,Vi,"Tener rabia, estar loco (que anda corriendo)",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000085,RHD-S1809-02000,Mága,Mága,360,maga,RD-001222,Maba,Maba,maba,Vt,Comer caña,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000086,RHD-S1809-02000,Mága,Mága,360,maga,RD-001223,Mabá,Mabá,maba,Imper,¡Vamos!,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000087,RHD-S1809-02000,Mága,Mága,360,maga,RD-001248,"Majá, majahuá",Majá,maja,Vi,Tener miedo,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000088,RHD-S1809-02002,Mahá,Mahá,360,maha,RD-001231,Machá,Machá,macha,S,Garrapata,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000089,RHD-S1809-02002,Mahá,Mahá,360,maha,RD-001245,‘Mahuá,‘Mahuá,mahua,Vi,Ir corriendo,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000090,RHD-S1809-02002,Mahá,Mahá,360,maha,RD-001222,Maba,Maba,maba,Vt,Comer caña,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000091,RHD-S1809-02004,Matáca,Matáca,361,mataca,RD-001269,Maracá,Maracá,maraca,S,Paleta,SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000092,RHD-S1809-02004,Matáca,Matáca,361,mataca,RD-001284,Matagá,Matagá,mataga,S,Palma (de la mano),SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000093,RHD-S1809-02013,Móla,Móla,361,mola,RD-001343,Moba,Moba,moba,Adv,"Sobre, encima",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000094,RHD-S1809-02013,Móla,Móla,361,mola,RD-001344,Mocá,Mocá,moca,S,"Cuero curtido, vaqueta",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000095,RHD-S1809-02013,Móla,Móla,361,mola,RD-001380,Moyá,Moyá,moya,Vi,Pudrirse (maíz desgranado),SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000096,RHD-S1809-02015,Molé,Molé,361,mole,RD-001364,Moré,Moré,more,Vi,Sahumar,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000097,RHD-S1809-02022,Muhé,Muhé,361,muhe,RD-001397,Muhué,Muhué,muhue,Vi pl,"Aumentarse, rendir mucho",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000098,RHD-S1809-02022,Muhé,Muhé,361,muhe,RD-001401,Mujé,Mujé,muje,Pron,"Tú, usted",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
