attestation_id,de_rar_record_id,de_rar_headword_diplomatic,de_rar_printed_page,rar_de_record_id,rar_de_component_index,rar_de_form_diplomatic,rar_de_german_gloss_local,rar_de_printed_page,graphic_key,short_form_warning,reciprocal_german_support,reciprocal_support_type,human_reviewed
RHD-IATT-000796,RHD-S1809-01346,Trinken,346,RHD-S1809-00047,1,Pahí,Trinken,363,pahi,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000797,RHD-S1809-01349,Trocknen,346,RHD-S1809-02476,1,Vakítsi,"Es trocknet, dürrt aus",368,vakitsi,False,False,none,False
RHD-IATT-000798,RHD-S1809-01350,Trüb,346,RHD-S1809-02122,1,Nolé,"Es überzieht ſich, wird trüb, wolkig",362,nole,False,True,german_headword_gloss_containment,False
RHD-IATT-000799,RHD-S1809-01351,Trunk,346,RHD-S1809-00048,1,Pahíla,Trunk,363,pahila,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000800,RHD-S1809-01352,Trunken,346,RHD-S1809-02353,1,Teculüameke,Berauſcht,366,teculuameke,False,False,none,False
RHD-IATT-000801,RHD-S1809-01354,Uebelthat,346,RHD-S1809-02411,2,tſainijoliki,Uebelthat,367,tsainijoliki,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000802,RHD-S1809-01355,Uebelthäter,346,RHD-S1809-02410,2,tſainijolájameke,Der Böſes thut,367,tsainijolajameke,False,False,none,False
RHD-IATT-000803,RHD-S1809-01356,Uebelthun,346,RHD-S1809-02469,1,Tſetijolá,Böſes thun,368,tsetijola,False,False,none,False
RHD-IATT-000804,RHD-S1809-01357,Ueber,346,RHD-S1809-01652,1,Amoba,Mehr,353,amoba,False,False,none,False
RHD-IATT-000805,RHD-S1809-01358,Ueberaus,346,RHD-S1809-01922,1,Igue,Sehr,359,igue,False,False,none,False
RHD-IATT-000806,RHD-S1809-01359,Uebergeben,346,RHD-S1809-01967,1,Kiá,Geben,359,kia,True,False,none,False
RHD-IATT-000807,RHD-S1809-01359,Uebergeben,346,RHD-S1809-01968,1,Kiá,Sonſt,359,kia,True,False,none,False
RHD-IATT-000808,RHD-S1809-01360,Ueberläufer,346,RHD-S1809-01906,1,Humeameke,Flüchtling,358,humeameke,False,False,none,False
RHD-IATT-000809,RHD-S1809-01364,Umbringen,346,RHD-S1809-02009,1,Meá,Tödten,361,mea,True,False,none,False
RHD-IATT-000810,RHD-S1809-01365,Umdrehen,346,RHD-S1809-02125,1,Nolíruje,Herumdrehen,363,noliruje,False,False,none,False
RHD-IATT-000811,RHD-S1809-01366,Umgehen,346,RHD-S1809-02124,1,Nolíre,Umgehen,363,nolire,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000812,RHD-S1809-01370,Umrühren,347,RHD-S1809-01895,1,Hologuá,"Miſchen, Umrühren",358,hologua,False,True,german_headword_gloss_containment,False
RHD-IATT-000813,RHD-S1809-01372,Unabläßlich,347,RHD-S1809-02289,1,Sinévi,"oder linivi, Immer, allezeit",365,sinevi,False,False,none,False
RHD-IATT-000814,RHD-S1809-01374,Unbeweibt,347,RHD-S1809-02490,1,Upéameke,"Ein Verheyratheter, Ehemann",368,upeameke,False,False,none,False
RHD-IATT-000815,RHD-S1809-01381,Ungewaſchen,347,RHD-S1809-02152,1,Pagotúgameke,Ein Getaufter,363,pagotugameke,False,False,none,False
RHD-IATT-000816,RHD-S1809-01385,Unlängst,347,RHD-S1809-01886,1,Hípela,"Itzt gleich, dieſen Augenblick",358,hipela,False,False,none,False
RHD-IATT-000817,RHD-S1809-01390,Unten,347,RHD-S1809-02363,1,Tele,Unten,366,tele,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000818,RHD-S1809-01391,Unterlaſſen,347,RHD-S1809-02237,1,Regué,Aufhören,364,regue,False,False,none,False
RHD-IATT-000819,RHD-S1809-01391,Unterlaſſen,347,RHD-S1809-02237,2,aregué,Aufhören,364,aregue,False,False,none,False
RHD-IATT-000820,RHD-S1809-01392,Ohn Unterlaß,347,RHD-S1809-02289,1,Sinévi,"oder linivi, Immer, allezeit",365,sinevi,False,False,none,False
RHD-IATT-000821,RHD-S1809-01396,Unverehelicht,347,RHD-S1809-02490,1,Upéameke,"Ein Verheyratheter, Ehemann",368,upeameke,False,False,none,False
RHD-IATT-000822,RHD-S1809-01397,Unverletzt,347,RHD-S1809-01945,1,Jumarúgameke,Vollkommen,359,jumarugameke,False,False,none,False
RHD-IATT-000823,RHD-S1809-01401,Unverzagt,347,RHD-S1809-01945,1,Jumarúgameke,Vollkommen,359,jumarugameke,False,False,none,False
RHD-IATT-000824,RHD-S1809-01402,Unverzüglich,347,RHD-S1809-01886,1,Hípela,"Itzt gleich, dieſen Augenblick",358,hipela,False,False,none,False
RHD-IATT-000825,RHD-S1809-01406,Unzahlbar,347,RHD-S1809-02340,1,Tarálati,Zählbar,366,taralati,False,False,none,False
RHD-IATT-000826,RHD-S1809-01411,Vater,347,RHD-S1809-02126,1,Nonó,"Vater, ſ",363,nono,False,True,german_headword_gloss_containment,False
RHD-IATT-000827,RHD-S1809-01412,Verabſcheuen,347,RHD-S1809-01928,1,Ikitsiki,"Haſſen, Verabſcheuen",359,ikitsiki,False,True,german_headword_gloss_containment,False
RHD-IATT-000828,RHD-S1809-01413,Verbergen,347,RHD-S1809-01935,1,Itschiná,Verbergen,359,itschina,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000829,RHD-S1809-01414,Verbieten,347,RHD-S1809-02305,1,Suleliruc,Es iſt verboten,366,suleliruc,False,False,none,False
RHD-IATT-000830,RHD-S1809-01414,Verbieten,347,RHD-S1809-02306,1,Sulí,Verbieten,366,suli,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000831,RHD-S1809-01415,Verbunden,347,RHD-S1809-01697,1,Bulá,Binden,355,bula,False,False,none,False
RHD-IATT-000832,RHD-S1809-01417,Verbleiben,347,RHD-S1809-00046,1,Jolá,Machen,359,jola,False,False,none,False
RHD-IATT-000833,RHD-S1809-01418,Verbot,347,RHD-S1809-02304,1,Sulelíla,Verbot,366,sulelila,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000834,RHD-S1809-01422,Verehren,347,RHD-S1809-02116,1,Noiné,"Ehren, verehren",362,noine,False,True,german_headword_gloss_containment,False
RHD-IATT-000835,RHD-S1809-01424,Verfertigen,347,RHD-S1809-01704,1,Cajena,"Vollenden, verfertigen, ausmachen",355,cajena,False,True,german_headword_gloss_containment,False
RHD-IATT-000836,RHD-S1809-01425,Verfeſtigen,347,RHD-S1809-01926,1,Igueruje,Feſt machen,359,igueruje,False,False,none,False
RHD-IATT-000837,RHD-S1809-01430,Vergelten,347,RHD-S1809-02058,1,Nachtétuje,"Erwiedern, Vergelten",362,nachtetuje,False,True,german_headword_gloss_containment,False
