triage_id,source_candidate_id,de_rar_record_id,de_rar_headword_diplomatic,candidate_span_diplomatic,graphic_key,printed_page,profile_class,machine_signal_confidence,review_priority_tier,profile_log_likelihood_ratio,german_anchor_token_ratio,nearest_rar_de_graphic_key,nearest_rar_de_edit_distance,nearest_rar_de_similarity,human_reviewed,decision
RHD-RTRI-001137,RHD-RSPAN-001146,RHD-S1809-01342,Trank,Getränke,getranke,346,mixed_or_uncertain_profile,low_machine_signal,4,-1.1454,0.0,gaele,5,0.375,False,not_assessed
RHD-RTRI-001138,RHD-RSPAN-000761,RHD-S1809-00912,Maulſchelle,Maulſchelle geben,maulschelle geben,331,german_context_profile_signal,high_machine_context_signal,4,-1.147,1.0,,,0.0,False,not_assessed
RHD-RTRI-001139,RHD-RSPAN-001284,RHD-S1809-01492,Vogel,Staar,staar,349,german_context_profile_signal,high_machine_context_signal,4,-1.1473,1.0,s-ca,3,0.4,False,not_assessed
RHD-RTRI-001140,RHD-RSPAN-000548,RHD-S1809-00689,Hernach,Warte ein wenig,warte ein wenig,324,mixed_or_uncertain_profile,low_machine_signal,4,-1.1497,0.667,,,0.0,False,not_assessed
RHD-RTRI-001141,RHD-RSPAN-000147,RHD-S1809-00211,Bejahen,Bejahend,bejahend,308,mixed_or_uncertain_profile,low_machine_signal,4,-1.1501,0.0,babali,5,0.375,False,not_assessed
RHD-RTRI-001142,RHD-RSPAN-001330,RHD-S1809-01532,Wehe thun,ich leide Schmerzen,ich leide schmerzen,350,mixed_or_uncertain_profile,low_machine_signal,4,-1.1504,0.333,,,0.0,False,not_assessed
RHD-RTRI-001143,RHD-RSPAN-000065,RHD-S1809-00107,Apatſchee,oder ausreiſſen wollte,oder ausreissen wollte,302,mixed_or_uncertain_profile,low_machine_signal,4,-1.1508,0.667,,,0.0,False,not_assessed
RHD-RTRI-001144,RHD-RSPAN-001124,RHD-S1809-01310,Tanz,iſt gewiß unterhaltend,ist gewiss unterhaltend,345,mixed_or_uncertain_profile,low_machine_signal,4,-1.1534,0.667,,,0.0,False,not_assessed
RHD-RTRI-001145,RHD-RSPAN-000100,RHD-S1809-00152,Baden,Sie können ſich,sie konnen sich,305,german_context_profile_signal,high_machine_context_signal,4,-1.1566,1.0,sikirugameke,5,0.667,False,not_assessed
RHD-RTRI-001146,RHD-RSPAN-000060,RHD-S1809-00107,Apatſchee,diebiſche,diebische,302,mixed_or_uncertain_profile,low_machine_signal,4,-1.1591,0.0,,,0.0,False,not_assessed
RHD-RTRI-001147,RHD-RSPAN-000111,RHD-S1809-00169,Ball,Spielplatz,spielplatz,306,german_context_profile_signal,high_machine_context_signal,4,-1.1651,1.0,saateameke,5,0.5,False,not_assessed
