recovery_id,graphic_key,surface_forms,occurrence_count,distinct_de_rar_record_count,de_rar_headwords,printed_pages,best_profile_class,best_profile_log_likelihood_ratio,nearest_rar_de_graphic_key,nearest_rar_de_similarity,evidence_grade,human_reviewed,decision
RHD-RREC-000135,calistschiki,Caliſtſchíki,1,1,Schweif,340,strong_raramuri_profile_signal,2.0747,calitschiki,0.917,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000136,mukilati,mukílati,1,1,Sterblich,344,strong_raramuri_profile_signal,2.0657,mukiiati,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000137,mujala,Mujála,1,1,Roſt,338,strong_raramuri_profile_signal,2.0593,mujaba,0.833,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000138,covara,Covára,1,1,Stirn,344,strong_raramuri_profile_signal,2.0544,cavara,0.833,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000139,tamatsiame,Tamatsiame,1,1,Dunkel,313,strong_raramuri_profile_signal,2.0354,tamateiame,0.9,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000140,vossaguaca,Voſſaguáca,1,1,Mörtel,332,strong_raramuri_profile_signal,2.0252,vuossaguaca,0.909,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000141,opiruc,ópiruc,1,1,Verhexen,347,strong_raramuri_profile_signal,2.0242,opirue,0.833,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000142,ekitschigo,ekitſchigo,1,1,Viel,348,strong_raramuri_profile_signal,2.0204,ekitschipi,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000143,pileliga,Pileliga,1,1,Stiefvater,344,strong_raramuri_profile_signal,2.0055,piseliga,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000144,pile,Pilé,1,1,Jemand,326,strong_raramuri_profile_signal,1.995,pole,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000145,pitschiguali huccu,pitſchiguali húccu,1,1,Wahrheit,349,strong_raramuri_profile_signal,1.993,pitschaburameke,0.722,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000146,ekipu,ekipu,1,1,Viel,348,strong_raramuri_profile_signal,1.988,ekipi,0.8,B_machine_documentary_signal,False,not_assessed
